Name,Price,Support,Experience,Surface,Midsole Drop(mm),Weight(g)
Addiction 14,130,Max Support,Cushion,Road,12,357.2
Adrenaline GTS 20,130,Support,Cushion,Road,12,300.5
Anthem 3,69.95,Neutral,Cushion,Road,10,212.6
Asteria,110,Support,Speed,Road,8,235.3
Beast 20,160,Max Support,Cushion,Road,12,331.7
Bedlam 3,150,Support,Energize,Road,8,306.2
Dyad 11,130,Neutral,Cushion,Road,10,328.9
Ghost 13,130,Neutral,Cushion,Road,12,286.3
Glycerin 18,150,Neutral,Cushion,Road,10,289.2
Hyperion,130,Neutral,Speed,Road,10,181.4
Hyperion Tempo,150,Neutral,Speed,Road,8,207
Hyperion Elite,250,Neutral,Speed,Road,8,195.6
Launch 7,100,Neutral,Speed,Road,10,255.1
Levitate 4,150,Neutral,Energize,Road,8,292
PureFlow 7,90,Neutral,Connect,Road,4,252.3
Ravenna 11,110,Support,Speed,Road,10,266.5
Revel 4,100,Neutral,Energize,Road,8,252.3
Ricochet 2,120,Neutral,Energize,Road,8,275
Ricochet 2 LE,120,Neutral,Energize,Road,8,275
Transcend 7,160,Support,Cushion,Road,10,303.3
